# Reference      Predicted      Error          
0.09654         0.09844         0.00191        
0.33848         0.30718         0.03131        
-0.03768        -0.03880        0.00112        
-0.27702        -0.27072        0.00630        
0.08221         0.08291         0.00070        
0.14995         0.17817         0.02821        
-0.06932        -0.07651        0.00719        
-0.28316        -0.28067        0.00249        
0.19767         0.19756         0.00010        
0.11691         0.12288         0.00597        
0.02062         0.01997         0.00065        
0.08421         0.09624         0.01204        
-0.05201        -0.04666        0.00535        
0.01336         0.01979         0.00642        
0.00144         0.00290         0.00145        
-0.38220        -0.41268        0.03048        
-0.03844        -0.03453        0.00391        
-0.27730        -0.27623        0.00107        
0.03844         0.03453         0.00391        
0.27730         0.27623         0.00107        
-0.03844        -0.03453        0.00391        
-0.27730        -0.27623        0.00107        
0.03844         0.03453         0.00391        
0.27730         0.27623         0.00107        
0.02660         0.03085         0.00425        
-0.30535        -0.30451        0.00083        
-0.04295        -0.05035        0.00740        
0.29806         0.30066         0.00261        
0.07391         0.07969         0.00579        
-0.32883        -0.32949        0.00066        
-0.01131        -0.01732        0.00601        
0.28987         0.29047         0.00060        
0.25653         0.26516         0.00863        
-0.38452        -0.38239        0.00212        
-0.02548        -0.02440        0.00108        
0.25614         0.25962         0.00348        
0.09411         0.09184         0.00227        
-0.54803        -0.56008        0.01205        
-0.08353        -0.09172        0.00819        
0.43477         0.44197         0.00720        
-0.06632        -0.06501        0.00131        
-0.28870        -0.28884        0.00014        
0.28201         0.30639         0.02439        
0.36119         0.36006         0.00113        
-0.17236        -0.17638        0.00402        
-0.53201        -0.55480        0.02279        
0.05133         0.04855         0.00278        
0.36486         0.37003         0.00518        
0.07882         0.08016         0.00134        
-0.66549        -0.69698        0.03149        
0.07858         0.09054         0.01196        
0.41153         0.41611         0.00458        
0.07148         0.06986         0.00162        
-0.60013        -0.61924        0.01911        
0.16967         0.20104         0.03136        
0.45553         0.45850         0.00298        
-0.02207        -0.02386        0.00179        
-0.15542        -0.14968        0.00573        
0.02207         0.02386         0.00179        
0.15542         0.14968         0.00573        
-0.02207        -0.02386        0.00179        
-0.15542        -0.14968        0.00573        
0.02207         0.02386         0.00179        
0.15542         0.14968         0.00573        
0.01832         0.01717         0.00115        
-0.13878        -0.13546        0.00332        
-0.03104        -0.03025        0.00079        
0.17655         0.17143         0.00512        
-0.01404        -0.01502        0.00098        
-0.11417        -0.11093        0.00324        
-0.03409        -0.03329        0.00080        
0.13725         0.13633         0.00091        
-0.00502        -0.00550        0.00048        
-0.13831        -0.13365        0.00466        
-0.15646        -0.15612        0.00034        
0.15714         0.16171         0.00456        
0.06907         0.06782         0.00125        
-0.02151        -0.02562        0.00411        
-0.10611        -0.10695        0.00084        
0.20119         0.19832         0.00287        
-0.05387        -0.05712        0.00324        
-0.07319        -0.07546        0.00227        
0.23357         0.23285         0.00072        
-0.06153        -0.07501        0.01348        
-0.19612        -0.19611        0.00000        
0.15388         0.16856         0.01468        
0.03889         0.04125         0.00236        
-0.04164        -0.03896        0.00268        
-0.27387        -0.27847        0.00460        
0.04674         0.06172         0.01498        
0.24759         0.25357         0.00598        
-0.10892        -0.11931        0.01039        
-0.27414        -0.27633        0.00219        
-0.16627        -0.16004        0.00622        
0.47832         0.48026         0.00194        
0.05054         0.03861         0.01193        
-0.00697        -0.00642        0.00055        
-0.04853        -0.04732        0.00121        
0.00697         0.00642         0.00055        
0.04853         0.04732         0.00121        
-0.00697        -0.00642        0.00055        
-0.04853        -0.04732        0.00121        
0.00697         0.00642         0.00055        
0.04853         0.04732         0.00121        
-0.01555        -0.01503        0.00052        
-0.02332        -0.02258        0.00074        
0.00922         0.00666         0.00256        
0.10965         0.10665         0.00300        
0.00485         0.00726         0.00241        
-0.11389        -0.11194        0.00195        
-0.01955        -0.01850        0.00105        
0.04858         0.04748         0.00109        
-0.03007        -0.02296        0.00711        
-0.00971        -0.01614        0.00643        
